test_id,chunk_id,source_chunk,question
1,9d36d733-bb9e-49c6-bcf6-42ed09c0bc9d,"Am J Obstet Gynecol 1992;167:653–660.

32.

Sweet RL, Draper DL, Schachter J, et al. Microbiology and pathogenesis of acute salpingitis as determined by laparoscopy: what is the appropriate site to sample? Am J Obstet Gynecol 1980;138:985–989.

33.

Wasserheit JN, Bell TA, Kiviat NB, et al. Microbial causes of proven pelvic inﬂammatory disease and efficacy of clindamycin and tobramycin. Ann Intern Med 1986;104:187–193.

34.

Short VL, Totten PA, Ness RB, et al. Clinical presentation of Mycoplasma genitalium infection versus Neisseria gonorrhoeae infection amoung women with pelvic inﬂammatory disease. Clin Infect Dis 2009;48:41–47.

35.

Soper DE, Brockwell NJ, Dalton HP, et al. Observations concerning the microbial etiology of acute salpingitis. Am J Obstet Gynecol 1994;170:1008–1017.

36.

Hillis SD, Joesoef R, Marchbanks PA, et al. Delayed care of pelvic inﬂammatory disease as a risk factor for impaired fertility. Am J Obstet Gynecol 1993;168:1503–1509.

37.

Wolner-Hanssen P, Kiviat NB, Holmes KK. Atypical pelvic inﬂammatory disease: subacute, chronic, or subclinical upper genital tract infection in women. In: Holmes KK, March P-A, Sparking PF, eds. Sexually transmitted diseases, 2nd ed. New York: McGraw-Hill, 1990:614–620.

38.

Westrom L. Diagnosis and treatment of salpingitis. J Reprod Med 1983;28:703–708.

39.

Soper DE. Diagnosis and laparoscopic grading of acute salpingitis. Am J Obstet Gynecol 1991;164:1370–1376.

40.

Peterson HB, Walker CK, Kahn JG, et al.",Which 1994 American Journal of Obstetrics and Gynecology article investigated the microbial etiology of acute salpingitis?
2,a5a71c57-22fd-40bc-931a-77a0928fa9d8,"Arch Gynaekol 13:73, 1878

Stevens CA: Malformations and deformations in abdominal pregnancy. Am J MedoGeneto47:1189,o1993

Stika CS: Methotrexate: the pharmacology behind medical treatment for ectopic pregnancy. Clin Obstet Gynecol 55(2):433, 2012

Stovall TG, Ling FW, Carson SA, et al: Serum progesterone and uterine curettage in diferential diagnosis of ectopic pregnancy. Ferti! Steri!o57:456, 1992 Stovall TG, Ling FW, Cope BJ, et al: Preventing ruptured ectopic pregnancy with a single serum progesterone. Am J Obstet Gynecol 160: 1425, 1989 Stovall TG, Ling FW, Gray A, et al: Methotrexate treatment of unruptured ectopic pregnancy: a report of 100 cases. Obstet Gynecol 77(5):749, 1991

Stulberg DB, Cain LR, Dahlquist I, et al: Ecropic pregnancy rates and racial disparities in the Medicaid population, 2004-2008. Ferti! Steril 102(6):1671, 2014

Svirsky R, Rozovski U, Vaknin Z, et al: The safety of conception occurring shortly after methotrexate treatment of an ectopic pregnancy. Reprod Toxicol 27(1):85, 2009

Tanaka Y, Mimura K, Kanagawa T, et al: hree-dimensional sonography in the diferential diagnosis of interstitial, angular, and intrauterine pregnancies in a septate uterus. J Ultrasound Med 33(11):2031, 2014 hompson M, Kho K: Minimally invasive surgery. In Hofman BL, Schorge JO, Bradshaw KD, et al (eds): Williams Gynecology, 3rd ed.","Which 2014 article listed in the passage investigated three‑dimensional sonography for differentiating interstitial, angular, and intrauterine pregnancies in a septate uterus?"
3,8c284073-d7a8-4b2d-80e1-50367c5fb952,"Diminished ability to think, concentrate, or be decisive nearly every day (subjective account or as observed by others) 9.

Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation without a specific plan, a suicide attempt or a specific plan for committing suicide

B. The symptoms do not meet criteria for a mixed manic episode.

C. The symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning.

D. The symptoms are not due to the direct physiologic effects of a drug or abuse, a medication, or a general medical condition (e.g., hypothyroidism).

E. The symptoms are not better accounted for by bereavement, and the symptoms persist >2 mo or are characterized by marked functional impairment, morbid preoccupation with worthlessness, suicidal ideation, psychotic symptoms, or psychomotor retardation.

Dysthymic disorder and anxiety disorders (prevalence 30% and 80%, respectively), substance abuse (20% to 30%), and disruptive behavior disorders (10% to 20%) are frequent comorbid disorders in depressed children and adolescents. Twenty percent of patients diagnosed with depression develop bipolar disorder (BD); this is more common in cases with a family history of mania or concurrent psychotic features.

The differential diagnoses for MDD are diverse and many. It is always prudent to rule out mood disorder due to a general medical condition or substance-induced mood disorders before considering MDD. Schizophrenia in its initial stages and the dysphoria related to untreated attention-deficit/hyperactivity disorder (ADHD) may also be mistakenly diagnosed as depression. Hypothyroidism, anemia, diabetes, and folate and B12 vitamin deficiencies need to be ruled out.

Dysthymic disorder (prevalence rate 0.6% to 1.7%) is a chronic, milder form of depression characterized by a depressed or irritable mood (subjectively or described by others) present for at least 1 year. Two of the following symptoms are also required: changes in appetite; sleep difficulty, fatigue; low self-esteem; poor concentration or difficulty with making decisions; and feelings of hopelessness. About 70% of children and adolescents with dysthymic disorder eventually develop major depression.",What prevalence range for dysthymic disorder is reported in the passage?
4,fcb49ec8-142d-4afb-8749-4acc37b6cecf,"The renin-angiotensin-aldosterone system (RAAS) operates as both a hormonal and paracrine system. Its activation causes sodium and water retention and thereby contributes to edema formation. Blockade of the conversion of angiotensin I to AII and blockade of the AII receptor enhance sodium and water excretion and reduce many forms of edema. AII that enters the systemic circulation stimulates the production of aldosterone by the zona glomerulosa of the adrenal cortex. Aldosterone in turn enhances sodium reabsorption (and potassium excretion) by the collecting tubule, further favoring edema formation. In patients with heart failure, not only is aldosterone secretion elevated but the biologic half-life of the hormone is prolonged secondary to the depression of hepatic blood flow, which reduces its hepatic catabolism and increases further the plasma level of the hormone. Blockade of the action of aldosterone by spironolactone or eplerenone (aldosterone antagonists) or by amiloride (a blocker of epithelial sodium channels) often induces a moderate diuresis in edematous states.

(See also Chap. 404) The secretion of arginine vasopressin (AVP) occurs in response to increased intracellular osmolar concentration, and, by stimulating V2 receptors, AVP increases the reabsorption of free water in the distal tubules and collecting ducts of the kidneys, thereby increasing total-body water. Circulating AVP is elevated in many patients with heart failure secondary to a nonosmotic stimulus associated with decreased effective arterial volume and reduced compliance of the left atrium. Such patients fail to show the normal reduction of AVP with a reduction of osmolality, contributing to edema formation and hyponatremia.",Why is the biologic half‑life of aldosterone prolonged in patients with heart failure?
5,2b6a106d-a555-4ece-8657-fdb9a0b3ab95,"Intravesical treatments are advised for patients with diffuse CIS, recurrent disease, >40% involvement of the bladder surface by tumor, or T1 disease. The standard therapy, based on randomized comparisons, is Bacillus Calmette-Guérin (BCG) in six weekly instillations, often followed by maintenance administrations for ≥1 year. Other agents with activity include mitomycin C, interferon, and gemcitabine. The side effects of intravesical therapies include dysuria, urinary frequency, and, depending on the drug, myelosuppression or contact dermatitis. Rarely, intravesical BCG may produce a systemic illness associated with granulomatous infections in multiple sites requiring antituberculin therapy.

Following the endoscopic resection, patients are monitored for recurrence at 3-month intervals during the first year. Recurrence may develop anywhere along the urothelial tract, including the renal pelvis, ureter, or urethra. Persistent disease in the bladder and new tumors are treated with a second course of BCG or intravesical chemotherapy with valrubicin or gemcitabine. In some cases, cystectomy is recommended. Tumors in the ureter or renal pelvis are typically managed by resection during retrograde examination or, in some cases, by instillation through the renal pelvis. Prostatic urethral tumors may require cystoprostatectomy if the tumor cannot be resected completely.

The treatment of a tumor that has invaded muscle can be separated into control of the primary tumor and systemic chemotherapy to treat micrometastatic disease. Radical cystectomy is the standard treatment in the United States, although in selected cases, a bladder-sparing approach is used. This approach includes complete endoscopic resection; partial cystectomy; or a combination of resection, systemic chemotherapy, and external beam radiation therapy. In some countries, external beam radiation therapy is considered standard. In the United States, it is generally limited to those patients deemed unfit for cystectomy, those with unresectable local disease, or as part of an experimental bladder-sparing approach.","After endoscopic resection, how often are patients monitored for recurrence during the first year?"
6,29f64fcf-2c28-445e-8bc4-7372e69296d2,"248 In a report of 1436 patients with acute proximal dissection that was surgically repaired using hypothermic circulatory arrest with or without unilateral and bilateral ACP, the early mortality rates ranged from 13.9% to 19.4%; the 628 patients with unilateral ACP had the lowest rate of early death.249 Operative mortality reported by North  American centers varies from 5% to 17%; improvements in out-comes may be related to the implementation of protocol-based management and the assembly of thoracic aortic teams.203Repair of Distal Aortic AneurysmsEndovascular Repair of Descending Thoracic Aortic Aneurysms. In the earliest series of endovascular repairs of descending thoracic aortic aneurysms, mortality and morbidity were difficult to assess.","What early mortality rate range was reported for the 1,436 patients with acute proximal dissection repaired using hypothermic circulatory arrest, and which subgroup (unilateral vs. bilateral ACP) experienced the lowest early death rate?"
7,0da777f7-5e51-4d49-81be-96c7fdeca4c3,"In the emotional sphere, frontal lobe lesions may cause anhedonia (lack of pleasure), apathy, loss of self-control, disinhibited social behavior, and euphoria, as described further on.

Voluntary movement involves the motor cortex in its entirety or at least large parts of it, and of the various effects of frontal lobe lesions, most is known about the motor abnormalities. Electrical stimulation of the motor cortex elicits contraction of corresponding muscle groups on the opposite side of the body; focal seizure activity has a similar effect. Stimulation of Brodmann area 4 produces movement of discrete muscle groups or, if sufficiently refined, of individual muscles. Repertoires of larger coordinated movements are evoked by stimulation of area 6, the premotor and supplementary motor cortices.

Lesions in the posterior part of the frontal lobe cause spastic paralysis of the contralateral face, arm, and leg. Motor impulses from the frontal lobe are conducted by the direct corticospinal tract and by tracts that descend from the motor, premotor, supplementary motor, and anterior parietal cortex to the spinal cord, either directly or via the red and reticular nuclei in the brainstem. Lesions of the more anterior and medial parts of the motor cortex result in less paralysis and more spasticity, as well as a release of sucking, groping, and grasping reflexes, the actual mechanisms for which probably reside in the parietal lobe and which, as conceptualized by Denny-Brown and by Seyffarth and Denny-Brown, are tropisms or automatisms that are normally inhibited by the frontal cortex. When lesions of the motor parts of the frontal lobe are bilateral, there is a tetraparesis in which the weakness is not only more severe but also more extensive than in unilateral lesions, affecting both spinal and cranial muscles (pseudobulbar palsy).

Ablation of the right or left supplementary motor areas (the parts of area 6 that lie on the medial surfaces of the cerebral hemispheres) was found by Laplane and colleagues (1977b) to cause mutism, contralateral motor neglect, and impairment of bibrachial coordination.",What motor deficits occur when the posterior part of the frontal lobe is lesioned?
8,10157437-f239-4f68-b1a1-96792534c493,"The spermatogenic cells consist of successive generations arranged in concentric layers. Thus, the spermatogonia (Sg ) are found at the periphery. The spermatocytes (Sc), most of which have large round nuclei with a distinctive chromatin pattern (because of their chromatin material being reorganized), come to lie above the spermatogonia. The spermatid population (Sp) consists of one or two generations and occupies the site closest to the lumen. The tubules in this figure have been identified according to their stage of development. The tubule at the upper right can be identified as stage VI. At this stage, the mature population of spermatids (identified by their dark-blue heads and eosinophilic threadlike flagella protruding into the lumen) are in the process of being released (spermiogenesis). The younger generation of spermatids is composed of round cells and exhibits round nuclei. Moving clockwise, the tubule indicated as stage VII is slightly more advanced. The mature spermatids are now gone. Progressing to stage VIII, the tubule at the bottom of the micrograph reveals that the spermatid population is undergoing a change in nuclear shape. Note the tapered nuclei (arrows). Further maturation of the spermatids is reflected in the tubule at the top of the micrograph, stage XI. Finally, the tubule marked stage II, on the left, reveals slightly greater maturation of the luminal spermatids, and with the start of the new cycle (stage I), a newly formed spermatid population is now present. By examining the spermatid population and assessing the number of generations present (i.e., one or two) and the degree of maturation, it is possible with the aid of a chart to approximate the stage of a tubule.","According to the passage, during which identified stage are mature spermatids being released (spermiogenesis) in the seminiferous tubule?"
9,417c285e-f524-4f00-8da5-226a61ae8b60,"Bordetella pertussis, the bacterium that causes whooping cough, secretes pertussis toxin, which ADP ribosylates the αi subunit. In this case, the ribosylation inactivates αi, reducing the inhibition of adenylyl cyclase and thus also leading to increased levels of cAMP/PKA.

Heterotrimeric G proteins also regulate phototransduction. In rod cells in the eye, absorption of light by rhodopsin activates the G protein transducin, which via the αt subunit activates cGMP phosphodiesterase. Activation of this phosphodiesterase lowers the concentration of cGMP and thereby closes a cGMP-activated cation channel. The ensuing change in cation channel activity alters the membrane voltage. The exquisite sensitivity of rods to light—rods can detect a single photon of light—is due to the abundance of rhodopsin in rods and amplification of the signal (a photon of light) by the G protein–cGMP phosphodiesterase–cGMP channel signaling pathway (see for more details).

Heterotrimeric G proteins also regulate phospholipases, a family of enzymes that modulate a variety of signaling pathways. Ligands that activate receptors that are coupled to the αq subunit stimulate phospholipase C, an enzyme that converts phosphatidylinositol 4,5-biphosphate to inositol 1,4,5-triphosphate (InsP3) and diacylglycerol. InsP3 is a second messenger that diffuses to the endoplasmic reticulum, where it activates a ligand-activated Ca++ channel to release Ca++ into the cytosol, whereas diacylglycerol activates protein kinase C, which phosphorylates effector proteins. As noted earlier, both Ca++ and protein kinase C influence effector proteins, as well as other signaling pathways, to elicit responses.

Ligand binding to GPCRs can also activate phospholipase A2, an enzyme that releases arachidonic acid from membrane phospholipids Arachidonic acid, which can also be released from diacylglycerol via an indirect pathway, can be released from cells and thereby regulate neighboring cells or stimulate inflammation.",How does pertussis toxin affect the αi subunit and the resulting levels of cAMP/PKA in the body?
10,bd7b88a5-e911-43c1-964d-13558b535648,"This obscure disorder occurs mainly in females and is characterized by a disappearance of fat in the dermal and subcutaneous tissues on one or both sides of the face, giving the appearance of facial paresis. It usually begins in adolescence or early adulthood and is slowly progressive. In its advanced form, the affected side of the face is gaunt and the skin thin, wrinkled, and rather dark; the hair may turn white and fall out, and the sebaceous glands become atrophic; the muscles and bones are not involved as a rule. The condition is a form of lipodystrophy, but the localization within a myotome suggests the operation of some neural factor (possibly a growth factor) of unknown nature. A variegated coloration of the iris and a congenital oculosympathetic paralysis are found in some cases. Rarely, certain central nervous system abnormalities referable to the ipsilateral hemisphere (mainly focal seizures, migraine, trigeminal neuralgia, and ventricular dilatation), are conjoined (Hosten). The significance of these associations is unclear. Immunosuppressive treatment can stabilize the clinical course.

Aberrant Effects of Recovery From Facial Nerve Palsy

If a peripheral facial paralysis has existed for some time and return of motor function has begun but is incomplete, a contracture with diffuse myokymic activity may appear. The palpebral fissure becomes narrowed, and the nasolabial fold deepens. Spasms of facial muscles may develop and persist indefinitely, being initiated by any facial movement. With the passage of time, the corner of the mouth and even the tip of the nose may become pulled to the affected side. Anomalous or aberrant regeneration of the seventh nerve fibers, following Bell’s palsy or other injury, may result in other curious disorders that represent limited types of synkineses. If regenerating fibers originally connected with the orbicularis oculi become connected with the orbicularis oris, closure of the lids may cause a retraction of the corner of the mouth; conversely, aberrant regeneration of fibers may cause synkinetic eyelid closure during contraction of the orbicularis oris.","What disorder is characterized by unilateral or bilateral loss of facial fat in females, giving the appearance of facial paresis, with thin wrinkled skin, possible white hair, iris coloration changes, occasional CNS abnormalities, and that can be stabilized with immunosuppressive treatment?"
